GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,median housing price
2020,"Anchorage Municipality, Alaska","288,121","147,647","140,474","18,988","47,051","42,922","32,763","15,845","16,807",35.2,"27,833","158,476","14,170","18,222","26,845","119,808",86654,109584,62390,88149,56223,94648,39874,88540,99478,72078,109002,50173,840,2.7,31.5,42.0,38.7,41.8,158296,6.6,346200
2090,"Fairbanks North Star Borough, Alaska","95,593","52,000","43,593","8,254","16,758","12,324","10,694","4,939","4,603",32.0,"7,990","64,186","3,594","5,318","3,101","42,673",72149,36426,52685,70469,58273,76010,31842,75629,93990,64938,87886,51972,18,4.5,42.0,41.6,36.0,32.8,50640,4.6,265900
4003,"Cochise County, Arizona","126,050","63,923","62,127","7,830","15,597","13,625","13,574","7,841","8,566",43.2,"45,221","66,398","3,495",692,"1,873","59,159",56600,49952,90018,40647,48999,58558,34510,64217,67080,43280,69539,34598,422,1.2,21.4,27.0,24.8,29.8,51951,8.4,175000
4013,"Maricopa County, Arizona","4,496,588","2,234,953","2,261,635","296,777","654,569","598,246","555,232","263,720","264,277",37.3,"1,436,701","2,345,022","241,914","58,306","189,037","1,849,103",76247,1708034,55478,98065,63266,83386,46493,80074,92991,58724,89467,50115,26069,12.0,37.8,38.5,34.7,34.6,2315697,5.2,383500
4019,"Pima County, Arizona","1,052,030","520,198","531,832","88,324","137,073","124,629","111,772","58,712","68,663",39.1,"404,972","517,002","34,431","19,569","28,020","474,804",60667,433148,53322,57378,52738,67103,37994,68525,71644,53282,76635,37872,5116,11.2,30.1,35.5,33.4,39.1,509247,6.0,261600
4021,"Pinal County, Arizona","449,557","232,267","217,290","25,108","59,086","59,501","50,260","24,408","27,802",39.8,"141,248","242,424","20,395","15,544","7,222","179,218",70993,155161,60361,87932,70905,71606,53403,85734,80275,55194,79149,38555,8278,8.2,16.5,18.1,19.0,24.9,190476,5.6,304700
5007,"Benton County, Arkansas","293,692","147,184","146,508","17,482","42,212","43,841","36,022","17,238","14,828",35.8,"51,748","171,612","5,539","2,308","11,520","118,236",78691,106553,70874,113972,67988,80470,48834,88237,91878,50331,87079,47434,3639,6.6,36.7,43.3,33.3,26.2,152483,3.8,247500
5045,"Faulkner County, Arkansas","125,106","61,513","63,593","13,132","17,272","16,304","13,684","8,661","5,671",33.3,"5,658","97,770","14,400",396,876,"52,696",55635,48497,54587,74183,41516,57096,30898,74957,60925,33618,69933,30796,658,12.8,31.8,38.3,38.9,26.4,61529,2.5,204500
5119,"Pulaski County, Arkansas","397,821","190,008","207,813","25,459","57,162","52,173","46,878","25,364","25,133",37.7,"25,918","197,565","148,705",513,"9,378","191,961",52479,172100,40072,107788,33033,73667,45341,53050,65690,48733,72748,36779,1123,16.2,39.4,44.1,34.8,37.2,199674,6.2,178100
5131,"Sebastian County, Arkansas","128,400","62,730","65,670","11,461","16,439","15,324","15,414","8,736","8,942",37.4,"19,750","86,767","7,145","1,244","5,821","57,136",47874,51472,51250,46834,45298,47919,50132,44774,62016,39069,57141,27134,246,6.6,31.1,21.3,23.5,23.1,58934,5.8,146700
6001,"Alameda County, California","1,648,556","816,792","831,764","89,838","259,399","260,957","219,425","102,653","99,204",38.8,"369,668","465,932","157,963","4,380","535,054","629,159",109729,589180,59817,146259,82011,126060,45439,135967,119470,70844,136940,65916,1368,17.8,59.6,57.8,46.3,38.2,899944,6.6,960900
6007,"Butte County, California","208,309","103,229","105,080","20,154","26,705","25,438","20,822","14,755","10,300",36.8,"38,425","141,516","3,994","1,288","11,159","90,309",64738,81353,57410,73054,47449,69995,22870,70055,74137,61308,81683,38577,1193,9.2,32.7,34.2,28.9,34.8,101953,8.7,370700
6013,"Contra Costa County, California","1,161,413","570,719","590,694","65,345","143,538","162,613","157,941","78,870","75,095",40.4,"310,805","462,252","97,612","2,005","208,682","426,327",111080,411560,72225,133284,88361,125957,61448,120945,139458,80314,127209,66459,2216,13.7,41.5,50.4,45.3,42.8,608978,7.7,780500
6019,"Fresno County, California","1,013,581","508,152","505,429","69,163","152,132","135,434","110,607","54,788","50,048",33.1,"554,633","266,959","41,518","3,643","107,250","341,732",63656,322646,47373,74149,53082,77258,42164,65439,75222,47528,70829,40364,3369,6.4,25.5,23.6,23.7,23.4,463446,9.1,331800
6023,"Humboldt County, California","136,310","67,427","68,883","10,775","17,134","17,662","16,595","8,173","7,894",39.9,"17,613","93,453","1,094","5,732","4,352","62,442",54752,55184,21416,53870,50500,58964,40232,54997,70611,50815,69499,39924,189,17.0,30.9,29.9,32.2,26.4,64100,8.3,374500
6025,"Imperial County, California","179,851","93,348","86,503","12,470","26,182","22,977","19,775","7,180","10,716",32.8,"154,270","15,992","4,444","1,340","2,301","57,101",51809,47849,61490,50414,50707,62507,32367,63248,67610,28851,60571,22006,425,1.2,11.6,18.0,15.3,8.8,69845,14.6,249800
6029,"Kern County, California","917,673","471,707","445,966","64,671","139,386","123,046","100,916","45,970","48,728",32.5,"515,237","277,241","45,139","3,728","42,780","303,865",58217,282963,40038,79347,51405,69635,40633,61497,71567,42863,64691,35396,2152,4.5,17.7,21.4,17.7,18.2,396868,10.0,282100
6031,"Kings County, California","153,443","85,187","68,256","12,015","26,507","22,940","15,923","7,301","7,301",32.2,"86,774","45,093","10,162",978,"6,237","46,761",62155,43143,57895,83475,56240,73643,48764,62963,76645,51039,64683,39331,484,5.5,10.9,10.6,10.0,14.7,63151,12.3,285600
6037,"Los Angeles County, California","9,829,544","4,870,908","4,958,636","631,577","1,559,323","1,378,506","1,294,950","627,057","587,341",37.8,"4,824,989","2,420,466","722,464","13,578","1,434,374","3,620,201",77456,3375587,51841,90448,66929,95193,41592,83939,86620,56528,87562,51570,7657,13.1,41.9,40.1,30.9,30.3,5147438,9.3,720300
6039,"Madera County, California","159,410","78,590","80,820","10,552","20,602","21,215","17,681","8,365","9,090",35.1,"96,013","48,906","3,526",866,"3,454","49,992",63454,44048,11579,113879,50659,74974,52004,61470,73820,53108,72733,25790,1066,4.2,18.9,14.5,16.9,20.5,66282,13.9,348500
6053,"Monterey County, California","437,325","222,499","214,826","28,444","60,940","58,479","50,776","23,240","25,151",35.4,"264,250","120,780","9,616",753,"24,659","144,365",82163,133224,72827,85364,75340,98176,51005,85429,96951,64237,89478,54320,503,6.6,27.0,26.9,24.0,32.8,200571,6.8,683200
6059,"Orange County, California","3,167,809","1,571,063","1,596,746","197,094","450,255","417,528","429,400","221,474","195,394",39.2,"1,080,593","1,191,185","52,572","3,615","693,396","1,139,043",100559,1077193,88536,103291,81606,110482,52758,106747,117893,74048,113908,63192,3433,15.3,47.3,47.9,40.5,39.9,1682674,7.5,832300
6061,"Placer County, California","412,300","203,013","209,287","20,336","44,586","56,116","53,829","29,414","24,761",42.3,"62,673","277,286","5,493",779,"33,570","174,937",103659,155945,115366,125449,89214,104988,37170,121641,125974,68339,119835,54476,4073,14.2,38.0,50.9,45.9,39.7,199635,4.8,627500
6065,"Riverside County, California","2,458,395","1,234,094","1,224,301","161,555","341,660","330,186","299,679","144,771","141,795",36.6,"1,267,615","765,380","150,605","5,133","161,376","858,681",79024,765673,72465,93213,73561,81596,51775,83711,94797,55608,87589,41146,7835,7.9,24.2,24.6,22.4,25.8,1166009,8.7,465400
6067,"Sacramento County, California","1,588,921","782,930","805,991","94,129","244,338","225,688","193,666","96,909","94,089",37.2,"387,454","652,537","150,783","3,038","269,476","593,234",80063,571949,57852,90217,71698,85337,44663,86319,92530,58302,94655,52032,4156,11.1,37.1,35.2,30.9,30.6,796144,7.6,466700
6071,"San Bernardino County, California","2,194,710","1,098,410","1,096,300","156,199","335,844","296,776","262,857","124,285","122,459",34.3,"1,224,685","543,244","167,011","4,582","170,066","735,905",74846,675929,60999,94059,71385,80927,49565,77566,86804,53961,81463,45423,4127,8.8,25.9,23.0,22.4,22.0,1039774,8.8,436800
6073,"San Diego County, California","3,286,069","1,664,717","1,621,352","232,801","527,297","464,536","397,132","197,412","190,403",36.9,"1,145,183","1,401,236","145,139","6,380","388,365","1,237,685",91003,1162896,58098,107183,72130,102315,51521,99437,104189,66704,104115,60923,3227,13.5,43.1,47.1,40.6,38.4,1771060,8.5,722200
6075,"San Francisco County, California","815,201","417,313","397,888","40,478","164,456","132,607","108,595","53,354","46,386",40.4,"128,030","302,182","40,955","1,200","286,518","412,269",121826,350796,46163,104573,75458,165332,63392,173521,120513,56248,150429,91445,33,34.0,81.1,69.2,53.3,41.1,489596,8.4,1306400
6077,"San Joaquin County, California","789,410","396,171","393,239","52,197","110,341","108,380","94,029","41,979","45,749",35.0,"339,331","218,293","50,367","2,037","141,077","255,199",80681,241760,64800,89561,76195,88569,46092,81987,96504,59763,89393,42887,3718,6.5,16.7,21.3,19.2,24.1,363257,9.0,457600
6079,"San Luis Obispo County, California","283,159","142,645","140,514","28,725","31,546","34,090","28,616","15,770","20,584",40.2,"67,302","185,476","3,467",308,"8,819","124,737",80615,107571,73160,76002,67093,82189,30417,94012,99415,67753,100804,51915,678,6.8,38.2,35.0,40.5,41.4,138197,7.5,695500
6081,"San Mateo County, California","737,888","367,402","370,486","36,930","105,270","107,832","100,101","50,914","46,428",40.8,"176,847","263,315","16,629",676,"228,166","285,583",131796,264135,86828,154343,95259,146928,49196,160021,156178,81943,157287,74176,535,23.4,57.9,59.7,50.7,41.9,406948,6.5,1411000
6083,"Santa Barbara County, California","446,475","224,964","221,511","43,042","59,833","51,886","47,608","24,483","25,302",34.6,"210,764","185,867","8,009",526,"23,010","159,771",84846,150550,85300,85954,74253,96358,31188,84054,106630,71051,95634,53681,534,13.2,36.3,34.0,35.3,39.3,222996,7.3,669000
6085,"Santa Clara County, California","1,885,508","963,131","922,377","110,196","297,064","275,037","255,608","126,199","104,673",38.2,"471,518","529,809","43,123","2,547","738,742","693,284",141562,650593,85345,181964,89201,147893,86532,168169,164845,77828,161586,92037,1915,21.2,63.9,61.9,52.6,42.9,1022939,6.0,1270200
6087,"Santa Cruz County, California","267,792","133,339","134,453","25,317","31,915","32,117","31,861","16,518","17,884",39.0,"92,149","145,696","1,788",59,"12,659","106,541",93933,97353,167888,101056,76250,107468,45958,109688,123961,76116,118352,62642,304,15.6,43.3,40.8,43.9,42.3,142218,7.7,922300
6095,"Solano County, California","451,716","225,948","225,768","27,955","63,946","61,834","53,981","30,321","28,586",38.9,"129,083","154,614","55,563",656,"71,377","163,340",87770,157617,66064,105871,76532,95373,41051,93986,101811,67950,100378,51421,1141,5.3,28.7,30.9,28.1,30.5,226538,7.3,543100
6097,"Sonoma County, California","485,887","238,756","247,131","26,722","59,668","65,106","59,393","32,264","35,732",42.7,"137,610","292,356","7,621",606,"21,832","205,898",94295,190586,110279,94928,79265,100360,58450,102359,114041,71231,114212,55120,1227,9.5,36.2,36.0,36.6,43.2,258482,6.9,718500
6099,"Stanislaus County, California","552,999","276,980","276,019","35,454","79,604","72,732","64,636","33,911","27,256",34.7,"273,597","206,376","14,716","1,406","31,383","183,911",73982,174209,39799,94413,68348,81371,60398,73793,89313,59280,82514,45354,667,8.5,20.4,19.3,18.3,19.9,261645,9.3,397200
6101,"Sutter County, California","99,063","50,826","48,237","6,913","13,252","13,051","11,496","5,610","6,379",36.8,"32,595","40,522","1,528",633,"14,643","34,643",64251,33655,65475,69145,54399,69365,36467,66783,65145,57248,69417,41618,106,6.0,16.1,23.9,15.4,15.6,46498,11.3,363600
6107,"Tulare County, California","477,054","240,240","236,814","33,662","66,937","62,299","52,338","24,991","22,174",31.7,"318,021","124,050","7,163","2,301","17,400","152,729",58209,143541,55106,65227,52179,70174,42169,60587,65669,46816,60316,39506,1300,4.9,15.4,15.5,16.2,17.9,205840,10.1,276400
6111,"Ventura County, California","839,784","418,376","421,408","52,748","112,582","107,254","107,440","54,975","56,522",39.0,"369,992","357,831","13,091","1,455","60,224","294,645",96454,279168,61163,123690,77536,105999,63712,101411,112735,72955,110108,61029,686,10.7,32.5,36.7,34.1,35.9,437059,7.5,691000
6113,"Yolo County, California","216,986","105,609","111,377","29,486","28,485","26,925","23,576","11,977","9,978",32.7,"70,760","95,588","5,103",709,"32,793","81,252",78146,76844,38850,76020,68049,84850,26677,88334,105535,53962,101639,39971,492,10.5,50.7,46.7,41.7,36.0,109417,6.5,534900
8001,"Adams County, Colorado","522,140","265,232","256,908","34,068","83,783","80,841","64,985","26,856","29,462",34.8,"218,396","242,156","17,578","2,063","21,415","191,383",81258,183023,46410,102730,70326,90408,51797,89683,89286,54027,93193,50667,2823,9.3,36.4,30.1,24.2,24.1,290885,5.8,424600
8005,"Arapahoe County, Colorado","654,900","327,097","327,803","37,806","102,022","98,041","83,911","35,533","41,488",37.2,"134,726","369,913","68,706","1,274","39,760","265,940",84386,250041,53677,88063,65750,95866,47125,90375,99863,64898,109348,51680,3028,15.9,46.5,48.5,44.6,45.6,371046,5.4,481500
8013,"Boulder County, Colorado","329,543","166,272","163,271","31,171","45,392","42,889","41,778","20,383","20,471",38.2,"46,380","249,640","2,844",403,"13,752","143,145",90168,135607,101951,115739,70150,93665,35827,101337,123021,68439,128485,54445,343,20.0,63.4,64.6,65.4,55.4,186100,5.5,654500
8014,"Broomfield County, Colorado","75,325","37,295","38,030","4,196","11,281","11,274","10,728","4,162","4,664",38.9,"10,165","55,449",865,162,"5,414","31,800",107638,30161,146283,114965,90448,105188,46120,127017,131190,60598,129412,65208,268,22.9,72.1,64.5,57.6,42.3,42811,3.7,576200
8031,"Denver County, Colorado","711,463","358,282","353,181","43,081","164,316","120,372","83,108","33,902","33,368",35.1,"206,207","381,270","59,195","1,854","23,308","351,829",81630,326634,55865,82544,63771,93869,53494,91734,83946,54834,105365,63720,1550,23.3,66.8,56.6,47.4,43.7,439661,6.2,541500
8035,"Douglas County, Colorado","368,990","186,083","182,907","19,100","43,965","55,637","56,389","25,264","22,433",39.3,"35,962","286,088","4,602",818,"20,297","140,240",129299,136238,84252,142396,95186,131848,65640,136935,152390,89217,147897,80409,3722,14.1,57.6,62.1,60.1,51.4,214478,4.0,630400
8041,"El Paso County, Colorado","737,867","374,764","363,103","57,007","119,039","100,639","82,578","44,881","40,442",34.9,"136,119","485,957","38,958","1,592","18,827","295,291",79427,282904,69451,71865,65121,84406,48971,80888,100646,62458,93669,50478,4925,9.4,36.4,43.9,45.6,38.9,396334,6.2,397900
8059,"Jefferson County, Colorado","579,581","291,948","287,633","30,239","89,105","86,366","72,114","39,411","39,951",40.2,"92,099","436,865","6,237",813,"16,505","250,916",94549,239823,70801,93442,71517,98387,51329,106061,113033,64068,116398,57162,1073,18.8,54.6,55.0,48.1,41.6,332391,5.4,548200
8101,"Pueblo County, Colorado","169,622","83,908","85,714","10,844","21,535","21,612","19,898","10,198","11,507",40.0,"74,084","85,584","2,449",360,"1,320","72,983",56689,69078,63796,109241,55313,58012,25357,69483,63160,43119,73718,27359,742,4.5,30.7,27.1,25.6,24.7,75714,6.6,253200
9001,"Fairfield County, Connecticut","959,768","470,429","489,339","60,626","111,773","123,501","131,317","70,896","67,171",41.2,"204,687","549,962","103,628",605,"51,559","380,697",100810,357271,65387,147344,61184,124236,52913,107575,127582,66567,127281,49975,714,24.7,54.2,55.1,51.6,42.6,525397,6.2,469600
9003,"Hartford County, Connecticut","896,854","438,546","458,308","56,250","119,253","117,642","111,555","62,423","61,643",40.0,"174,409","511,903","116,612",612,"53,022","386,152",80069,360140,58425,120332,51303,92843,41391,88847,97476,53503,103601,46171,613,19.6,45.2,46.5,40.2,32.3,478232,6.7,269800
9007,"Middlesex County, Connecticut","164,759","80,846","83,913","10,357","18,842","18,662","21,828","14,667","13,125",46.7,"11,770","131,299","6,243",0,"5,676","76,486",94887,69789,38088,73819,90503,97426,36710,105455,108965,74235,117142,55705,174,20.4,53.0,55.5,41.7,39.8,93960,5.1,309600
9009,"New Haven County, Connecticut","863,700","418,954","444,746","58,373","115,022","107,941","107,826","57,983","63,471",40.5,"174,191","505,633","107,563",615,"36,197","370,779",75295,349089,55754,67666,51361,88101,35329,79739,94652,57667,98813,40157,497,14.9,45.4,45.8,37.7,33.3,465923,8.0,282200
9011,"New London County, Connecticut","268,805","133,949","134,856","18,334","34,801","32,263","31,913","21,046","19,366",41.6,"32,278","194,620","12,344","1,000","11,355","123,388",78828,110950,45448,107211,69778,80698,42442,84419,101868,60000,102023,50041,403,13.3,38.4,34.0,35.8,30.4,142283,5.2,289400
10003,"New Castle County, Delaware","571,708","277,764","293,944","34,812","80,215","75,127","70,313","38,067","39,971",39.1,"62,976","305,712","132,810","1,312","33,110","235,340",73854,220758,58948,116438,60277,81967,36328,79979,86408,57857,96197,45920,1190,10.6,44.0,43.2,38.3,35.6,299132,5.8,303500
10005,"Sussex County, Delaware","247,527","119,298","128,229","11,310","23,242","24,652","25,249","17,983","23,225",51.8,"23,791","183,325","26,024",437,"3,387","147,545",70556,104731,41237,101461,47055,75233,37063,68002,80050,67385,84329,44290,4395,8.1,23.8,28.1,34.4,35.2,107919,5.1,324000
11001,"District of Columbia, District of Columbia","670,050","319,025","351,025","45,383","145,879","110,899","70,143","32,661","33,577",34.8,"76,919","244,063","285,945",277,"26,908","357,482",90088,319565,52812,110029,89612,145975,42297,110168,89183,60159,136184,76236,376,23.4,75.5,72.2,50.5,50.1,391439,8.2,669900
12001,"Alachua County, Florida","279,238","135,116","144,122","40,253","41,062","32,504","27,716","12,449","17,140",32.8,"30,789","165,648","54,006",308,"16,436","125,518",56445,108189,40052,81543,56741,62303,21921,63044,75355,57478,86547,33100,1088,16.6,52.4,47.9,44.4,42.4,140948,3.9,245300
12005,"Bay County, Florida","179,168","90,040","89,128","11,340","25,437","21,487","22,508","12,356","15,669",41.1,"13,225","132,938","17,879",560,"3,999","106,144",60557,79532,46015,49895,61398,65674,61772,53290,68929,54812,70172,46693,1520,9.6,24.8,34.4,30.3,30.0,93267,4.4,243200
12009,"Brevard County, Florida","616,628","303,641","312,987","30,788","70,284","70,234","71,992","52,103","48,335",47.0,"71,676","434,850","56,345",471,"14,608","294,237",65333,254314,46910,76800,63054,67929,38309,73716,77538,48987,79906,39129,4451,12.4,30.4,39.9,31.7,32.7,292685,5.0,269500
12011,"Broward County, Florida","1,930,983","947,679","983,304","105,100","249,475","263,836","261,812","138,244","130,550",41.3,"618,443","606,540","533,161","2,077","67,822","864,468",65747,747715,53928,93408,65073,72411,51156,72164,78898,42346,78917,42046,1629,13.9,38.4,42.0,35.5,30.0,1041512,6.3,346100
12015,"Charlotte County, Florida","194,843","95,225","99,618","6,504","14,752","15,389","18,937","14,037","19,732",60.4,"15,920","159,253","10,184",376,"2,516","113,469",59285,88988,30773,114386,39798,60500,36744,63462,67075,56248,68895,35517,3435,2.2,18.3,26.9,22.6,29.3,74000,6.2,267900
12019,"Clay County, Florida","222,361","109,207","113,154","13,071","22,577","31,151","30,677","14,089","16,048",40.9,"24,627","149,511","19,435",89,"8,434","86,753",76679,80459,69016,108690,94303,77855,19503,83828,80807,65750,85196,49690,1985,9.1,35.0,20.5,29.3,27.0,109195,2.1,265800
12021,"Collier County, Florida","385,980","191,063","194,917","17,683","35,052","38,121","42,569","27,038","27,560",52.7,"111,764","234,041","24,854",69,"5,936","233,635",74215,163943,61416,64539,57356,87804,29734,63363,92014,75533,89814,49010,4380,14.8,28.6,30.6,38.3,48.0,170426,4.8,416200
12031,"Duval County, Florida","999,935","486,538","513,397","63,444","160,866","133,763","118,028","62,469","64,661",36.8,"113,454","493,920","285,131","1,019","47,771","444,930",59980,406301,41931,77961,52494,71886,42792,61121,72768,48602,74128,41776,6326,9.9,32.4,38.8,32.2,32.5,519636,4.6,246900
12033,"Escambia County, Florida","322,390","160,808","161,582","23,690","45,866","38,046","35,953","21,250","21,180",38.5,"20,498","200,092","66,945",301,"9,443","147,732",54228,126980,34290,55144,61761,61577,45712,55583,65932,44751,65297,36302,1010,11.5,28.7,25.3,28.6,28.1,162348,6.6,212500
12053,"Hernando County, Florida","200,638","98,319","102,319","8,594","21,072","23,973","23,079","12,388","16,878",47.8,"32,492","145,105","9,218",588,"2,578","90,533",56868,81497,52188,77544,49853,57149,34715,64595,70477,49369,68025,34134,1819,5.0,19.9,28.7,18.2,23.0,86807,5.1,222000
12057,"Hillsborough County, Florida","1,478,194","727,772","750,422","91,661","220,375","210,341","193,347","92,628","88,630",37.9,"447,921","666,824","228,869","1,904","61,721","617,955",65905,578259,48820,96049,54849,79824,36192,69659,81672,48153,81290,44396,7504,12.9,42.1,40.6,36.4,29.7,780336,5.2,300200
12061,"Indian River County, Florida","163,662","78,325","85,337","7,113","13,490","14,039","17,923","11,993","13,449",55.1,"21,828","118,288","13,360",51,"2,634","84,979",58972,69974,52248,69405,50545,62681,24968,54018,61237,60140,70571,40512,1569,4.7,36.4,30.1,28.6,38.5,68255,5.5,279400
12069,"Lake County, Florida","395,804","193,034","202,770","20,033","42,953","44,737","46,061","25,138","29,154",46.7,"70,970","257,623","41,002",110,"6,302","182,361",64795,156435,50700,78476,71775,65353,31845,72181,75551,51351,80282,33789,4458,8.5,28.0,30.8,25.0,27.8,171618,6.7,258800
