GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,median housing price
53011,"Clark County, Washington","443,817","220,284","223,533","27,243","55,807","61,820","60,460","29,728","26,699",37.3,"37,171","357,108","9,805","2,759","18,023","169,730",57588,158778,50580,58428,43511,59648,26926,58137,72889,43501,67442,38009,1699.0,225600
53027,"Grays Harbor County, Washington","71,078","36,317","34,761","4,407","9,080","7,834","9,418","6,060","4,952",42.3,"6,818","56,996","1,371","2,819",956,"35,090",41315,26815,130743,23333,47327,41024,41352,42033,52468,30828,57712,21787,122.0,156300
53029,"Island County, Washington","78,801","38,954","39,847","6,141","8,761","8,283","9,723","5,359","6,884",44.1,"5,253","63,877","2,341",873,"2,939","40,412",51893,32990,27387,50213,53718,52843,25833,51855,68129,46216,64651,32041,221.0,277900
53033,"King County, Washington","2,044,449","1,020,603","1,023,846","133,795","341,580","307,344","290,168","132,646","117,402",37.2,"190,526","1,287,442","121,129","12,267","312,886","868,388",71834,819434,33955,75555,48308,78927,33080,80578,85587,47342,92767,46489,4419.0,376200
53053,"Pierce County, Washington","819,743","407,494","412,249","61,297","121,604","105,953","113,145","54,043","45,529",35.8,"80,940","564,550","56,464","8,357","49,981","329,569",57660,302287,50754,49693,44402,61583,30658,58383,71846,42819,70402,34875,2369.0,223300
53061,"Snohomish County, Washington","745,913","373,570","372,343","48,045","104,824","105,016","113,226","52,731","43,205",37.5,"70,844","542,413","19,980","6,912","71,707","293,095",67394,270616,55803,75789,53876,68643,41326,69102,81417,42063,78584,40847,1985.0,277500
53063,"Spokane County, Washington","479,398","237,497","241,901","37,661","67,634","58,042","63,378","32,067","31,259",37.2,"24,129","412,120","9,819","4,645","11,376","204,343",47576,186456,26948,39283,41539,49113,20665,46499,61544,37729,61018,26299,1299.0,179300
53067,"Thurston County, Washington","262,388","127,893","134,495","18,968","36,206","34,478","34,451","18,376","17,920",38.3,"21,180","201,127","7,459","2,574","16,589","110,401",59785,99815,60700,62065,45293,61368,36133,61058,71069,44932,71751,37388,929.0,237000
53077,"Yakima County, Washington","247,044","123,884","123,160","17,867","32,079","29,423","28,754","13,927","12,833",32.7,"116,218","112,778","2,390","8,635","2,695","85,898",41917,79742,20050,62698,35600,49203,24019,39577,50120,35723,47496,27165,300.0,159800
54061,"Monongalia County, West Virginia","102,274","52,182","50,092","18,806","17,091","10,491","11,162","5,782","4,733",29.5,"1,960","91,337","4,093",67,"2,927","44,206",49534,37766,33983,53387,11803,50825,7301,56714,71017,39589,67699,22709,26.0,164800
55009,"Brown County, Wisconsin","254,586","128,717","125,869","17,884","34,318","32,081","37,272","16,819","15,223",36.7,"19,858","209,922","5,547","5,348","7,317","106,216",51160,99703,31711,44025,41024,53535,28320,57304,63152,32728,64820,31007,542.0,159200
55025,"Dane County, Wisconsin","509,939","252,913","257,026","50,963","81,209","66,181","66,004","32,385","28,919",34.6,"31,573","412,953","26,056","1,158","26,537","219,564",60081,212218,26351,47782,31712,64283,22212,61105,74624,46783,81781,37325,1113.0,228400
55039,"Fond du Lac County, Wisconsin","101,798","49,975","51,823","6,364","11,531","12,997","15,015","7,922","6,434",40.7,"4,843","92,745",736,319,"1,379","44,191",54198,41202,28792,101027,50935,55461,26579,57882,71313,32528,64409,27085,114.0,142600
55079,"Milwaukee County, Wisconsin","956,023","461,752","494,271","72,901","154,692","119,433","121,611","60,762","50,411",34.0,"134,186","509,644","247,920","3,815","35,045","416,673",41959,381115,27124,52997,31332,52376,21870,44945,51915,31422,52870,31309,154.0,146700
55087,"Outagamie County, Wisconsin","180,345","89,847","90,498","11,325","23,646","23,222","28,361","11,437","10,692",38.0,"7,051","159,806","2,036","3,152","5,649","74,459",56433,70571,26186,47374,34353,57929,27471,59769,70638,36420,71327,34588,417.0,155400
55101,"Racine County, Wisconsin","195,041","96,662","98,379","11,130","24,170","24,905","29,276","14,187","12,317",39.6,"24,015","143,077","21,169",614,"2,140","82,057",54209,72057,23314,140898,35422,61951,27018,56303,67875,37430,68486,32146,182.0,160600
55131,"Washington County, Wisconsin","132,739","66,276","66,463","6,724","14,133","16,959","22,427","9,794","8,727",42.0,"3,847","124,248","1,349",145,"1,719","55,138",66391,52779,61051,104920,47115,66498,45604,77121,76114,45302,81182,38056,309.0,212600
