GEO_ID,Label (Grouping),Total population,Male,Female,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,Median age (years),HISPANIC OR LATINO AND RACEHispanic or Latino (of any race),HISPANIC OR LATINO AND RACENot Hispanic or LatinoWhite alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoBlack or African American alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAmerican Indian and Alaska Native alone,HISPANIC OR LATINO AND RACENot Hispanic or LatinoAsian alone,Total housing units,Median income (dollars)!!Estimate!!Households,Total!!Estimate!!Households,Median income (dollars)!!Estimate!!One race!!Black or African American,Median income (dollars)!!Estimate!!One race!!Asian,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,SINGLE_FAMILY_PERMITS,median housing price
4005,"Coconino County, Arizona","137,682","67,191","70,491","18,064","18,650","14,975","15,144","8,185","8,124",30.9,"19,128","74,950","1,908","35,499","2,958","64,215",49757,46919,33977,23602,40222,59316,19693,56471,63345,42437,60847,32084,290.0,227500
4013,"Maricopa County, Arizona","4,087,191","2,019,956","2,067,235","286,925","579,981","543,218","527,566","240,516","211,728",35.7,"1,237,680","2,325,050","200,452","64,026","159,078","1,680,184",53896,1458064,39569,70193,40405,60740,31039,56469,65674,42266,65148,35688,9836.0,206300
4019,"Pima County, Arizona","1,004,516","494,124","510,392","91,988","122,536","114,817","119,379","64,590","61,992",38.0,"362,438","534,711","31,208","24,893","25,974","448,835",45856,389737,40094,41780,38345,51459,20306,47648,55095,41719,57476,29428,2296.0,158400
4021,"Pinal County, Arizona","401,918","211,515","190,403","21,996","53,408","55,274","45,035","22,321","25,175",38.4,"117,553","232,468","17,701","16,589","6,949","165,714",49867,132176,53294,67629,41044,54040,25798,55873,55650,42288,56765,27060,1721.0,145900
5007,"Benton County, Arkansas","242,321","120,768","121,553","13,426","35,321","33,750","32,313","13,847","11,450",35.4,"39,180","180,878","4,039","3,576","8,304","97,543",56981,86232,56715,120038,40920,60059,28675,65032,68099,37755,69281,32835,1608.0,157200
5051,"Garland County, Arkansas","97,322","47,725","49,597","6,578","10,394","10,399","12,416","7,538","6,261",43.2,"5,188","80,647","8,226",269,788,"50,555",41032,39045,29040,"250,000+",19928,42470,19094,48047,42218,37088,52727,19639,43.0,124800
5069,"Jefferson County, Arkansas","72,297","36,188","36,109","5,477","9,008","8,651","9,542","5,728","4,395",39.1,"1,409","29,038","40,678",30,710,"33,235",32433,28494,26499,55266,13763,50240,12309,30720,39487,30337,46795,20896,39.0,83900
5119,"Pulaski County, Arkansas","392,702","188,389","204,313","27,035","59,376","49,984","50,887","26,310","24,498",36.6,"23,451","211,742","139,826",571,"7,830","181,434",44860,152045,32278,64563,41257,56667,22735,42442,53651,43122,60634,29777,685.0,140200
5131,"Sebastian County, Arkansas","126,776","62,793","63,983","9,542","14,813","17,560","16,210","8,877","7,433",37.5,"16,936","89,991","9,190","1,292","5,437","56,039",38418,48779,16686,44466,30696,40852,16748,41356,49058,31905,49246,23861,209.0,115600
6001,"Alameda County, California","1,610,921","789,220","821,701","108,623","256,936","239,675","225,738","103,477","90,926",37.1,"365,271","525,838","179,452","6,023","449,467","592,393",77214,563601,41911,98736,57197,92542,31498,85270,90345,50033,93540,49036,1613.0,587600
6013,"Contra Costa County, California","1,111,339","541,302","570,037","68,872","139,841","150,067","164,692","75,825","67,046",38.8,"279,559","504,397","91,299","2,668","170,327","406,792",80361,387936,52229,101503,60490,92480,36253,86354,93252,59860,95357,48654,1503.0,474000
6019,"Fresno County, California","965,974","482,110","483,864","78,364","143,394","117,177","113,921","50,535","47,343",31.7,"501,771","295,864","45,026","4,001","94,339","324,158",43423,297993,26833,53124,35370,59808,20777,41783,54624,37086,48440,28049,1611.0,204700
6025,"Imperial County, California","179,091","90,172","88,919","15,854","24,695","22,008","20,535","10,845","7,503",32.3,"147,348","21,854","3,365","2,127","2,537","56,963",39290,43635,19500,172364,37361,49695,6836,49916,49915,23950,48164,14444,185.0,156000
6029,"Kern County, California","874,589","448,318","426,271","70,679","131,202","109,962","104,940","48,126","39,635",31.2,"450,826","314,827","43,164","3,708","38,769","291,469",47644,261135,31198,71872,40285,60552,31429,50598,55568,36209,51332,30925,1885.0,183100
6031,"Kings County, California","150,269","82,133","68,136","14,000","24,072","19,575","19,157","8,162","5,914",30.9,"79,929","50,390","8,987","1,375","5,293","44,872",42784,41596,29594,41713,36317,58719,26470,39288,50595,38911,48683,31722,274.0,169200
6037,"Los Angeles County, California","10,116,705","4,982,772","5,133,933","780,397","1,574,478","1,408,930","1,390,056","625,868","518,873",35.8,"4,897,745","2,695,087","802,664","18,759","1,431,071","3,482,681",55746,3269112,39774,65694,45045,74048,28004,57384,65079,41279,62295,40329,4586.0,464400
6041,"Marin County, California","260,750","127,673","133,077","11,616","23,482","34,314","41,619","21,271","19,549",45.4,"41,626","186,724","5,536",112,"15,868","112,308",95749,103509,198070,86895,48332,102931,37181,110369,110620,68628,127470,58195,194.0,862800
6045,"Mendocino County, California","87,869","43,596","44,273","4,020","10,264","10,471","10,784","6,036","7,285",42.2,"21,175","58,197",517,"3,780","1,666","40,719",42660,33464,31613,41422,34388,43725,30370,35196,47284,44619,57721,25503,104.0,318800
6047,"Merced County, California","266,353","134,395","131,958","21,997","37,095","33,281","31,162","15,748","9,627",31.0,"153,161","78,223","8,929",732,"19,293","84,180",44084,79255,27239,40321,38103,55974,24339,42488,56811,34363,47011,24606,163.0,173000
6053,"Monterey County, California","431,344","220,023","211,321","33,472","63,802","55,891","52,963","24,910","22,771",33.7,"247,467","133,620","10,594","1,660","25,054","140,143",57864,123920,59647,65253,46260,71538,39518,51908,70891,54108,61181,43334,236.0,391200
6055,"Napa County, California","141,667","69,938","71,729","9,790","17,666","17,645","19,606","8,390","10,241",40.9,"47,707","76,015","3,115",0,"11,501","55,322",74123,50516,100628,100019,54741,84027,30979,87644,84667,58662,88187,43675,92.0,511800
6059,"Orange County, California","3,145,515","1,553,937","1,591,578","229,920","441,771","426,960","457,645","207,294","162,324",37.2,"1,080,321","1,315,644","48,139","6,618","595,098","1,072,078",76306,1018862,63990,77605,55869,88778,34650,79522,90915,54426,85313,50434,3714.0,591800
6061,"Placer County, California","371,694","181,711","189,983","20,790","40,424","47,141","53,684","26,439","22,782",41.9,"50,173","275,456","5,586","1,481","26,567","157,477",75390,136239,50978,108113,54566,77094,29961,83174,91885,52385,91583,40728,1636.0,386200
6065,"Riverside County, California","2,329,271","1,157,875","1,171,396","174,339","313,303","298,472","303,248","131,535","117,593",34.8,"1,104,970","864,029","136,749","9,456","143,805","820,011",57006,700584,51646,78625,48797,63154,27995,60030,68506,41106,64563,32188,5074.0,279500
6067,"Sacramento County, California","1,482,026","725,000","757,026","105,414","223,515","193,538","196,680","92,721","83,326",35.7,"333,627","686,519","144,664","5,402","225,363","561,905",55842,523353,41204,61128,47182,61783,26439,56142,69101,45799,66205,36766,1680.0,273800
6071,"San Bernardino County, California","2,112,619","1,051,007","1,061,612","176,018","306,971","273,309","273,283","127,873","98,728",32.7,"1,091,228","642,908","165,790","7,147","141,139","708,364",52041,617066,40370,70545,48780,57448,28385,52453,61954,38942,58049,31433,2148.0,261600
6073,"San Diego County, California","3,263,431","1,639,959","1,623,472","272,244","526,628","429,612","426,577","197,192","175,138",35.3,"1,083,028","1,520,451","151,480","10,894","371,659","1,187,693",66192,1100858,52034,82170,47802,75368,34200,69361,80511,48504,76876,45166,2487.0,457300
6075,"San Francisco County, California","852,469","433,882","418,587","51,050","192,923","136,412","116,440","51,327","51,888",38.6,"130,275","348,131","44,419","1,440","287,291","386,610",85070,353406,29503,71719,67233,104364,51938,112498,82176,44457,100850,68748,35.0,846800
6077,"San Joaquin County, California","715,597","356,199","359,398","52,836","96,533","91,938","92,561","42,530","35,176",33.7,"289,466","241,977","49,039","1,710","106,707","237,547",51659,221874,25697,61734,42584,62487,25397,52287,60640,38148,59220,30409,1245.0,250800
6079,"San Luis Obispo County, California","279,083","141,338","137,745","30,762","32,235","29,525","32,838","21,497","18,199",38.8,"61,521","193,646","5,412",975,"10,951","119,138",63474,102645,71472,50673,50456,67117,15322,65615,79779,51292,80687,34443,812.0,459900
6081,"San Mateo County, California","758,581","372,768","385,813","42,242","107,650","111,465","110,647","51,122","46,803",39.4,"191,603","305,210","18,373","1,209","203,888","273,582",101051,257473,52257,112973,66739,111660,66667,111282,114960,60656,117149,61819,371.0,836300
6083,"Santa Barbara County, California","440,668","219,796","220,872","47,893","59,044","49,894","52,409","25,373","23,945",33.7,"195,856","202,058","6,886","1,115","20,658","154,414",63833,142912,80163,59261,49345,71842,26341,66621,77297,50173,71652,42659,372.0,476400
6085,"Santa Clara County, California","1,894,605","952,685","941,920","120,629","287,030","284,115","273,513","117,027","97,791",37.0,"503,062","627,332","45,916","2,271","647,313","651,171",97532,622068,67115,120282,64885,105587,44919,110900,113221,53425,109884,62055,1756.0,746500
6087,"Santa Cruz County, California","271,804","135,280","136,524","27,933","33,222","32,035","35,948","19,879","18,573",37.0,"90,312","157,915","2,111",326,"11,661","105,251",65368,96127,45739,37473,46890,78300,22630,65691,81855,51380,80788,39777,172.0,615200
6095,"Solano County, California","431,131","213,673","217,458","32,228","61,157","52,945","60,388","27,484","29,644",37.3,"110,522","169,832","58,230","1,436","66,592","154,997",67999,145313,51960,84023,57007,75457,30615,70881,81815,51913,77896,41638,646.0,304100
6097,"Sonoma County, California","500,292","245,269","255,023","31,968","67,002","59,895","69,259","37,213","36,880",41.1,"130,595","320,942","6,506","1,506","19,327","207,220",67771,190875,49704,64238,53151,73530,40925,67594,83478,54320,81305,41960,419.0,469400
6099,"Stanislaus County, California","531,997","263,516","268,481","38,643","74,165","68,110","67,430","32,376","25,817",33.8,"234,452","234,649","12,171","3,130","28,694","180,297",51084,169038,32398,52066,42588,58590,23325,52226,59926,41335,55772,31895,404.0,216000
6101,"Sutter County, California","95,847","47,232","48,615","5,983","13,094","12,066","12,070","5,084","5,315",35.8,"28,650","45,495","2,266",779,"13,766","34,105",54433,31634,54600,47558,45303,61895,16462,60188,57063,46472,61221,32351,69.0,202000
6107,"Tulare County, California","458,198","229,545","228,653","35,438","63,753","56,637","52,332","24,495","19,604",30.4,"288,307","138,447","6,712","3,423","15,095","145,500",42611,132742,20053,69535,33731,58414,25959,39862,51427,38816,45844,26076,836.0,170300
6111,"Ventura County, California","846,178","418,091","428,087","60,552","110,242","107,645","119,143","57,719","47,776",37.3,"355,251","393,872","12,711","2,723","59,264","284,527",75449,269869,72367,102409,59268,82036,50783,76290,89240,53139,83019,46882,536.0,483100
6113,"Yolo County, California","207,590","100,803","106,787","28,135","29,184","23,832","24,346","10,649","11,285",31.8,"65,297","99,913","5,373",529,"27,725","76,736",53765,72228,42553,41036,51330,62224,14302,60670,75879,42011,72428,30450,216.0,349000
6115,"Yuba County, California","73,966","36,834","37,132","5,314","11,059","8,741","8,978","5,067","3,038",31.9,"20,121","41,861","1,629",457,"4,167","28,009",42143,25732,45290,36142,38722,45062,35144,44003,55480,25932,44616,21030,201.0,169700
8001,"Adams County, Colorado","480,718","241,805","238,913","32,044","76,152","70,835","61,882","25,666","23,435",33.5,"186,465","249,156","13,801","2,828","19,095","166,286",59659,159422,52000,50128,47485,65769,34523,64022,63927,45315,65913,38479,1085.0,200600
8005,"Arapahoe County, Colorado","618,821","305,407","313,414","39,885","93,093","87,448","84,110","40,558","35,146",36.1,"116,053","382,759","62,579","2,135","32,576","243,734",65327,232763,48084,67282,47950,73210,36579,66125,79776,53133,79453,42433,1258.0,257700
8013,"Boulder County, Colorado","313,333","157,429","155,904","34,204","40,936","41,944","42,184","19,508","20,341",36.4,"43,289","244,903","3,140",828,"14,089","130,924",71540,123690,45214,57442,42478,77901,23868,73154,96860,60057,95184,45657,560.0,383100
8031,"Denver County, Colorado","663,862","332,182","331,680","44,479","146,145","102,611","77,264","37,021","32,494",34.2,"204,375","353,627","61,627","3,483","24,351","298,880",54941,281928,31293,49151,40972,68806,31040,62821,60258,39017,71439,43119,1710.0,283100
8035,"Douglas County, Colorado","314,638","156,424","158,214","15,470","32,124","50,918","51,477","20,558","16,038",37.8,"26,089","263,211","3,788",401,"12,019","113,806",103226,108135,132724,111875,91945,104068,51737,108821,121370,60294,116703,60694,2224.0,366400
8041,"El Paso County, Colorado","663,519","334,519","329,000","55,630","101,736","82,552","85,621","39,155","36,825",33.7,"107,866","464,914","36,319","1,675","18,869","262,160",59446,245158,49943,52042,43738,63283,30855,58377,76796,46912,71358,34629,2594.0,224100
8059,"Jefferson County, Colorado","558,503","278,384","280,119","34,786","76,367","72,293","81,886","42,135","39,714",40.3,"84,798","439,428","5,575","3,628","14,693","233,294",70714,224502,32069,67844,50893,73193,30065,75695,81997,49112,88594,42604,1120.0,289700
8123,"Weld County, Colorado","277,670","140,239","137,431","19,194","40,680","37,075","35,109","17,715","14,002",33.9,"80,086","184,871","2,545",990,"3,048","100,064",62083,96803,43550,90310,49211,68920,34904,68365,71602,44771,73421,37193,1995.0,212000
9001,"Fairfield County, Connecticut","945,438","460,815","484,623","57,552","110,065","122,826","148,667","67,129","54,439",39.5,"176,896","600,732","98,698","1,515","48,130","364,966",85925,338421,50323,112240,49351,102941,37384,93044,104575,53372,104987,44665,987.0,408900
9003,"Hartford County, Connecticut","897,985","435,273","462,712","58,122","116,645","110,756","132,683","68,154","51,918",39.9,"152,501","566,974","114,566","1,401","43,857","374,723",65894,346525,46714,85441,32194,76986,27570,67983,85438,41646,83605,38335,435.0,233300
9005,"Litchfield County, Connecticut","184,993","91,152","93,841","9,522","18,085","21,329","31,028","17,934","13,250",47.0,"10,085","165,899","3,116",184,"3,485","87,413",73756,73572,67568,74015,48805,75144,42434,85702,81594,49636,88938,43344,141.0,255900
9007,"Middlesex County, Connecticut","164,943","80,559","84,384","9,758","17,123","20,331","27,388","14,101","11,209",44.6,"9,514","139,606","8,095",173,"5,065","75,276",75876,67106,42723,101929,107862,77869,29296,78031,96166,51209,101526,43733,164.0,279900
9009,"New Haven County, Connecticut","861,277","415,597","445,680","60,934","113,147","104,271","125,957","59,243","55,263",39.9,"144,731","556,851","103,251",759,"31,272","362,307",60391,326050,36271,80409,34984,70093,25944,64996,76877,39820,81542,34126,484.0,242700
9011,"New London County, Connecticut","273,676","136,879","136,797","20,970","34,144","30,883","42,242","20,743","17,298",41.5,"27,180","208,191","15,713",663,"10,926","121,263",66148,105504,46737,70921,27411,70709,40844,67815,78260,51729,82337,41574,288.0,234900
9013,"Tolland County, Connecticut","151,367","76,117","75,250","18,393","15,394","16,432","22,866","10,570","9,446",38.0,"7,543","130,149","3,771",0,"5,411","58,526",78786,53984,38297,85673,72321,79693,33548,83347,90693,58182,94838,48244,155.0,253200
10001,"Kent County, Delaware","171,987","83,161","88,826","12,896","21,948","19,885","23,044","12,136","8,420",37.3,"11,845","108,525","39,357",925,"4,224","67,862",55227,61270,46580,52183,51378,58463,30206,56503,65767,42761,62982,36524,912.0,205300
10003,"New Castle County, Delaware","552,778","267,209","285,569","39,478","78,731","70,033","78,511","40,271","30,399",37.7,"51,848","327,986","131,661","1,073","29,382","220,103",64801,202204,47310,90529,50202,71157,17972,69024,77897,44433,80729,37861,1289.0,242000
10005,"Sussex County, Delaware","210,849","103,635","107,214","11,531","21,285","21,703","26,811","16,413","16,994",47.8,"19,633","157,977","26,745",819,"2,432","129,448",55011,86269,34786,110219,50768,58680,31716,55265,61177,48120,63869,35392,1943.0,221200
11001,"District of Columbia, District of Columbia","658,893","312,633","346,260","58,809","150,211","92,877","76,790","36,171","32,697",33.8,"68,356","235,433","314,473","1,218","24,540","306,184",71648,277378,40739,84466,63065,117134,31854,84872,71558,47906,84094,61126,288.0,486900
12001,"Alachua County, Florida","256,380","123,429","132,951","39,143","37,047","27,354","26,315","14,842","14,396",31.2,"23,245","160,112","49,151",697,"14,435","114,059",45228,97215,28779,39821,34631,51169,12744,49199,64920,40813,65641,25818,499.0,159300
12009,"Brevard County, Florida","556,885","271,678","285,207","30,743","59,964","57,820","81,478","45,590","39,147",46.9,"51,976","421,102","56,691","1,118","13,108","272,283",47907,225226,31579,68330,40904,50505,28466,48008,58165,41247,59835,30759,1241.0,149400
12011,"Broward County, Florida","1,869,235","907,994","961,241","117,402","250,905","250,661","280,895","128,827","108,813",39.9,"514,676","737,484","504,470","3,115","67,400","817,309",51608,665192,42249,57718,54235,57086,30995,58073,60815,35217,62108,32296,1181.0,200900
12019,"Clay County, Florida","199,798","97,754","102,044","11,783","25,637","24,925","30,157","13,913","11,406",38.6,"18,334","149,214","18,066",213,"6,304","77,433",58153,70307,52652,64633,40947,62417,41214,56941,66584,48192,66676,35028,813.0,157900
12021,"Collier County, Florida","348,777","171,222","177,555","17,343","33,815","35,506","42,402","20,849","24,858",48.7,"93,231","224,027","24,085",486,"4,120","203,099",58026,133162,32450,44060,38348,67295,26517,52891,69564,57191,66233,41405,2477.0,273100
12031,"Duval County, Florida","897,698","434,797","462,901","66,412","142,439","113,647","122,533","60,398","51,223",36.2,"77,064","491,254","264,170","1,738","40,160","395,891",45779,340985,32607,66140,33883,53376,17788,47968,55340,36159,56747,31759,2242.0,138700
12033,"Escambia County, Florida","310,659","155,803","154,856","28,718","43,086","33,117","39,286","21,590","18,050",37.2,"16,937","203,220","67,888","1,042","9,952","138,619",46655,115094,29901,44989,31229,52309,26435,46589,54884,40248,56941,31281,694.0,117800
12053,"Hernando County, Florida","175,855","84,294","91,561","8,648","16,855","17,780","23,248","12,241","12,746",49.2,"20,335","140,621","9,263",143,"2,150","84,618",40255,70558,26697,46488,43862,40497,43299,52510,44789,35332,48292,26337,336.0,111900
12057,"Hillsborough County, Florida","1,316,298","641,238","675,060","92,351","194,540","179,851","182,311","83,789","70,787",36.7,"349,185","673,604","204,699","2,555","49,174","554,082",50796,489603,35245,77238,40200,59419,26851,53895,61459,37204,60699,35429,4411.0,164200
12061,"Indian River County, Florida","144,755","69,316","75,439","6,429","12,334","14,259","17,479","8,784","12,350",51.1,"17,235","110,277","12,925",466,"1,723","77,342",46238,55618,34658,105197,28619,48989,12045,42758,53705,41981,59994,26566,707.0,167800
12069,"Lake County, Florida","315,690","152,335","163,355","15,729","30,606","35,387","39,876","20,336","20,657",46.4,"43,584","228,038","30,622","1,117","6,404","146,708",47191,117696,41618,79599,32245,50148,34087,55083,55297,40881,57088,27437,1890.0,141400
12071,"Lee County, Florida","679,513","332,755","346,758","36,190","71,570","72,247","83,617","46,142","49,295",47.3,"132,908","468,836","57,360","1,186","10,506","375,688",49055,263295,36288,50642,40221,51629,30472,50487,54247,44442,56123,31741,3112.0,163400
12073,"Leon County, Florida","283,988","135,569","148,419","47,864","40,579","29,633","30,927","15,849","15,826",30.1,"17,446","163,023","89,350",367,"9,761","126,736",44824,112145,32532,48693,44970,55578,21921,44184,70976,47919,70372,29176,482.0,184600
12083,"Marion County, Florida","339,167","161,159","178,008","19,045","32,659","35,762","40,072","22,322","24,735",48.0,"40,502","242,378","39,722",989,"4,124","163,560",39958,132275,36048,57671,35311,42391,36029,42583,46984,36542,49882,28372,713.0,101300
12086,"Miami-Dade County, Florida","2,662,874","1,293,441","1,369,433","184,983","377,157","377,114","397,109","162,142","147,882",39.3,"1,762,598","391,027","444,290","2,050","41,449","1,004,378",42926,843887,32170,70460,41017,70581,26384,47848,49705,27242,50187,26083,2077.0,216000
12091,"Okaloosa County, Florida","196,512","99,142","97,370","15,652","29,831","23,896","24,915","13,312","10,594",36.5,"16,669","146,396","17,478","1,945","5,252","95,058",57640,73277,35484,41275,41494,61074,36527,58297,63688,53256,69309,39386,582.0,186000
12095,"Orange County, Florida","1,253,001","616,363","636,638","106,593","204,941","175,876","171,966","74,344","61,414",34.5,"365,422","538,073","250,865","1,288","63,856","508,097",47055,444543,34717,43954,40493,56259,24143,48671,52330,37683,54332,32341,4483.0,171100
12097,"Osceola County, Florida","310,211","152,183","158,028","20,784","43,923","43,707","41,343","16,664","16,264",35.5,"154,186","111,342","29,504",0,"8,233","133,989",42899,89328,42043,48613,36547,51291,30018,42185,50951,33271,47475,29702,2766.0,138200
12099,"Palm Beach County, Florida","1,397,710","676,324","721,386","81,448","163,583","163,181","191,740","91,752","85,404",44.3,"289,802","796,368","246,883","1,479","36,963","674,880",52203,538246,35733,69936,42020,60332,28971,54786,65402,41238,65816,34036,2533.0,211200
12101,"Pasco County, Florida","485,331","236,229","249,102","24,824","50,472","59,882","67,591","31,845","31,993",44.7,"65,080","374,539","23,586",769,"11,516","232,385",45349,186999,44677,70423,43563,45100,40903,56927,51234,33830,53087,28148,1825.0,123900
12103,"Pinellas County, Florida","938,098","449,118","488,980","50,477","107,802","104,602","138,702","76,062","68,391",47.3,"82,832","703,130","96,082","2,397","29,055","504,695",45152,402575,30588,51540,35644,47329,26853,50578,52449,34551,61031,30595,695.0,150900
12105,"Polk County, Florida","634,638","310,685","323,953","40,215","77,825","75,076","79,289","36,846","41,138",40.5,"124,558","393,512","93,553","1,707","9,926","282,748",42780,218286,32581,51190,37668,47208,30340,46502,50807,35185,50891,25762,2547.0,105400
12107,"Putnam County, Florida","72,143","35,238","36,905","3,616","8,013","6,917","10,178","6,087","5,032",45.2,"6,929","51,575","12,064",154,468,"36,664",30765,26580,16068,68065,31701,34498,9333,31604,34156,29331,36700,20498,29.0,83600
12109,"St. Johns County, Florida","217,919","106,148","111,771","10,975","22,501","28,648","31,792","16,538","14,091",42.6,"13,347","183,012","11,920",559,"4,657","96,909",65976,81309,38136,65513,44735,67419,42616,65648,82917,56582,85332,37846,2658.0,248800
12111,"St. Lucie County, Florida","291,028","141,568","149,460","15,856","30,917","34,052","38,652","21,011","18,031",44.3,"51,116","173,023","55,563",513,"4,742","137,349",42359,108771,32885,73140,34145,47988,25465,41993,49807,36997,51638,28355,682.0,131900
12115,"Sarasota County, Florida","396,962","188,736","208,226","17,611","31,565","36,665","49,969","30,011","30,618",54.5,"34,463","332,161","18,415","1,038","6,321","230,981",52109,175881,34582,60366,43967,53415,33068,56041,61116,47108,64535,33854,1856.0,186600
12117,"Seminole County, Florida","442,516","216,023","226,493","30,312","60,988","59,312","65,519","30,064","26,791",39.3,"85,067","279,524","46,641",396,"17,968","185,900",56322,148732,43577,63060,44810,60607,30196,55123,72605,39341,72710,33886,667.0,183600
12127,"Volusia County, Florida","507,531","247,580","259,951","32,059","54,977","53,289","70,108","38,491","37,617",46.5,"62,111","373,475","52,155","1,653","8,953","256,104",40818,200729,26472,34909,32667,43684,18748,40489,47626,37724,52607,25829,1201.0,133700
13013,"Barrow County, Georgia","73,240","35,352","37,888","4,101","10,565","10,326","10,542","3,466","3,865",35.2,"7,040","53,738","8,768",0,"2,777","26,828",47834,22508,32145,66950,37131,50462,47273,52329,50518,32828,51940,27040,380.0,117300
